"","series","baker_first_name","baker_last_name","baker_age","baker_occupation","hometown","episode","technical","result","signature_bake","show_stopper"
"173",3,"Manisha","Parmar",27,"Nursery nurse","Leicester",2,6,"IN","Indian FlatbreadsItalian Flatbreads","UNKNOWN"
"174",3,"Ryan","Chong",38,"Photographer","Bristol",2,5,"IN","Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan","Cinnamon and Date Bagels
Tarragon and Rosemary Bagels"
"175",3,"Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",2,10,"IN","Toasted Coconut and Lime RotisOatcakes","UNKNOWN"
"176",3,"Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",2,9,"IN","Bombay BreadChorizo and Spring Onion Naan","Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels"
"177",3,"Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",2,7,"IN","Coriander and Lemon NaanGarlic and Parsnip Chapatis","Saffron and Golden Raisin Bagels
Porcini Bagels"
"178",3,"Peter","Maloney",43,"Sales manager","Windsor, Berkshire",2,11,"OUT","Fennel and Nigella Seed NaanBannock Bread","Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels"
"179",3,"John","Whaite",22,"Law student","Wigan",2,1,"STAR BAKER","Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels"
"180",3,"Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",2,NA,NA,NA,NA
"181",3,"Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",3,9,"IN","Apple and Ginger Tarte Tatin","Blackberry, Nectarine and Dragon Fruit Tart"
"182",3,"Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",3,3,"IN","Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart"
"183",3,"Danny","Bryden",45,"Intensive care consultant","Sheffield",3,2,"IN","Savoury Pear and Roquefort Tarte Tatin","Pineapple, Coconut and Frangipane Tart"
"184",3,"John","Whaite",22,"Law student","Wigan",3,6,"IN","Apple and Vanilla Tarte Tatin with Walnut Praline","Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
"185",3,"Manisha","Parmar",27,"Nursery nurse","Leicester",3,10,"IN","Cinnamon, Apple and Pear Tarte Tatin","Rum and Tropical Fruit Tart"
"186",3,"Ryan","Chong",38,"Photographer","Bristol",3,5,"IN","Spiced Pear Tarte Tatin","UNKNOWN"
"187",3,"Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",3,8,"IN","Caramelised Banana Tarte Tatin","French Apple Tart with Blackberry and Cassis Jam"
"188",3,"Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",3,7,"IN","Pear and Almond Tarte Tatin","Raspberry Triple Chocolate Layered Tart"
"189",3,"Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",3,4,"OUT","Fig, Walnut and Pink Peppercorn Tarte Tatin","Tropical Fruit Tart with Black Pepper Crust"
"190",3,"James","Morton",21,"Medical student","Hillswick, Shetland Islands",3,1,"STAR BAKER","Apple and Lavender Tarte Tatin","Rose, Lychee and Raspberry Fruit Tart"
"191",3,"Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",3,NA,NA,NA,NA
"192",3,"Peter","Maloney",43,"Sales manager","Windsor, Berkshire",3,NA,NA,NA,NA
"193",3,"Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",4,3,"IN","White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
"194",3,"Danny","Bryden",45,"Intensive care consultant","Sheffield",4,2,"IN","Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
"195",3,"James","Morton",21,"Medical student","Hillswick, Shetland Islands",4,5,"IN","Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue"
